1127073	7665014	Нібыта Чалавек
1129833	8001346	Астэрыкс: таемнае зелле
1136707	6253688	Чужынец у раі
1137091	8263936	Таямніца на імя Анры
1157488	8095860	Дзякуй Богу
1160046	8466564	Обі-Ван Кенобі
1162387	5321814	Мадонна і the Breakfast Club
1171976	8579674	1917
1172074	8398600	Пасля жыцця
1178535	8773020	Рока змяняе свет
1179577	8753438	Аскеляд і замак Сур’я-Мур’я
1179876	8747598	Рэдл
1190322	8951692	Жонкі вайскоўцаў
1198481	9074232	Дарогі свабоды
1203040	9140560	ВандаВіжн (1 сезон)
1209003	6272384	Адзіны позірк
1219417	9426210	Дзіця надвор'я
1219909	9419884	Доктар Стрэндж у мультысусвеце вар'яцтва (субцітры)
1224733	8214666	Амстэрдамскі кот
1227803	7366338	Чарнобыль
1228254	9561862	Каханне, смерць і робаты
1229743	9618254	Што за халера 101
1235101	8991268	Мядовая зямля
1235277	9684264	Возера радасці
1252445	13499372	Купала
1253633	10048342	Гамбіт каралевы
1282688	10648342	Тор: Каханне і Гром (субцітры)
1289472	10713106	Прынцэса і паўкаралеўства
1303875	10801368	Пад шчаслівай зоркай (субцітры)
1304786	5645432	Стары (субцітры)
1316601	11198330	Дом цмока (субцітры)
1322324	6710474	Усё. паўсюль, адразу (субцітры)
1323137	9348578	Бягуха (субцітры)
1337642	9174578	Вакол свету за 80 дзен
1355036	11657662	Вядзьмар: Кашмар воўка
1374709	12210708	Прыгоды Бэйліна
1379277	462654	Дзённік Берта
1382105	12245660	Скажы мне (субцітры)
1388684	10483152	Войны аднарогаў
1396219	12803902	Пра калядную зорку
1396300	12758060	Тэтрыс (субцітры)
4290977	13668894	Кніга Бобы Фета
4294189	13648222	Прэзідэнт (субцітры)
4321512	13833688	Кіт (субцітры)
4323378	11907902	Дантыст
